School_Name,School_Grade,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,Enrol_TOT,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,PCT_FREE_MEAL,PCT_Single_Family,PCT_More_than_INCOME_60000,EDU_Population35to44years_Bachelorsdegreeorhigher,EDU_Population45to64years_Bachelorsdegreeorhigher
'BEAR CREEK ELEMENTARY SCHOOL',13,13,12,13,12,12,13,12,12,12,367,0.002725,0.081744,0.002725,0.059946,0.762943,0.002725,0.087193,0.035,0.173833,0.798784,0.876,0.75
'CHERRY HILLS VILLAGE ELEMENTARY SCHOOL',13,12,12,12,13,12,13,13,12,13,610,0.004918,0.052459,0.013115,0.059016,0.852459,0,0.018033,0.054,0.455422,0.356947,0.208,0.192
'CHEYENNE MOUNTAIN ELEMENTARY SCHOOL',13,13,12,12,13,12,12,9,10,12,338,0,0.047337,0.005917,0.059172,0.840237,0,0.047337,0.033,0.300089,0.624359,0.53,0.491
'CHINOOK TRAIL ELEMENTARY SCHOOL',13,12,12,12,12,11,13,12,13,9,406,0.009852,0.068966,0.017241,0.100985,0.73399,0,0.068966,0.059,0.069971,0.778142,0.66,0.537
'THE CLASSICAL ACADEMY HIGH SCHOOL',13,13,13,12,12,13,10,9,9,10,566,0,0.012367,0.021201,0.086572,0.839223,0.0053,0.035336,0.037,0.105768,0.85046,0.682,0.741
'CORY ELEMENTARY SCHOOL',13,12,12,13,12,12,12,13,10,11,473,0.002114,0.029598,0.029598,0.116279,0.79704,0,0.02537,0.1,0.203056,0.708609,0.705,0.664
'COTTONWOOD CREEK ELEMENTARY SCHOOL',13,12,12,13,12,12,13,13,12,12,657,0.003044,0.152207,0.004566,0.057839,0.753425,0,0.028919,0.043,0.186718,0.803353,0.69,0.712
'POLARIS AT EBERT ELEMENTARY SCHOOL',13,13,13,13,13,13,12,12,10,10,329,0,0.027356,0.033435,0.112462,0.765957,0,0.06079,0.091,0.527283,0.373996,0.471,0.262
'COYOTE RIDGE ELEMENTARY SCHOOL',13,12,12,13,11,12,13,13,13,13,569,0,0.052724,0.001757,0.075571,0.864675,0.001757,0.003515,0.044,0.218448,0.735466,0.505,0.374
'MEIKLEJOHN ELEMENTARY',13,12,12,12,10,11,13,12,12,12,581,0.001721,0.017212,0.006885,0.056799,0.900172,0,0.017212,0.03,0.175322,0.768389,0.497,0.441
'NIWOT ELEMENTARY SCHOOL',13,12,12,12,12,12,12,12,9,12,477,0.002096,0.062893,0.012579,0.060797,0.857442,0.002096,0.002096,0.062,0.163212,0.757195,0.647,0.628
'STECK ELEMENTARY SCHOOL',13,13,13,13,13,12,13,13,13,13,366,0,0.032787,0.040984,0.120219,0.754098,0,0.051913,0.119,0.290805,0.661001,0.637,0.586
'CHERRY CREEK CHARTER ACADEMY',13,13,13,12,13,13,12,12,13,12,488,0.002049,0.131148,0.081967,0.067623,0.682377,0,0.034836,0,0.186718,0.803353,0.69,0.712
'LIBERTY COMMON CHARTER SCHOOL',13,13,13,13,13,13,12,10,12,12,846,0.004728,0.068558,0.007092,0.053191,0.838061,0,0.028369,0.05,0.119355,0.687251,0.597,0.525
'HORIZONS K-8 SCHOOL',13,12,12,12,10,13,12,9,9,13,332,0.003012,0.060241,0.009036,0.024096,0.88253,0,0.021084,0.069,0.21971,0.737669,0.748,0.722
'AURORA QUEST K-8',13,13,13,13,13,13,12,12,12,9,516.678349,0.009281,0.023713,0.03799,0.315076,0.586393,0.001955,0.025591,0.226,0.415725,0.362962,0.246,0.224
'LYONS MIDDLE/SENIOR HIGH SCHOOL',13,12,12,13,12,12,10,9,10,9,441,0.006803,0.015873,0.002268,0.0839,0.886621,0,0.004535,0.154,0.222376,0.72927,0.631,0.548
'DENVER SCHOOL OF THE ARTS',13,12,12,10,13,12,10,10,9,11,1043,0.000959,0.04698,0.090125,0.17162,0.616491,0.001918,0.071908,0.13,0.290805,0.661001,0.637,0.586
'KIOWA HIGH SCHOOL',13,10,11,9,12,12,13,13,12,13,113,0,0.017699,0.00885,0.070796,0.902655,0,0,0.407,0.167331,0.61063,0.24,0.38
'DEVELYN JUNIOR/SENIOR HIGH SCHOOL',13,13,13,13,13,13,9,10,10,6,1022,0.004892,0.05773,0.004892,0.098826,0.810176,0.000978,0.022505,0.057,0.303106,0.544596,0.181,0.391
'RIDGEVIEW CLASSICAL CHARTER SCHOOLS',13,13,13,12,13,13,10,11,10,6,764,0.002618,0.044503,0.01178,0.090314,0.794503,0,0.056283,0.194,0.119355,0.687251,0.597,0.525
'THE VANGUARD SCHOOL (HIGH)',13,13,13,13,13,13,12,13,9,12,135,0,0.059259,0.02963,0.140741,0.703704,0.014815,0.051852,0.207,0.300089,0.624359,0.53,0.491
'JEFFERSON CHARTER ACADEMY SENIOR HIGH SCHOOL',12,10,10,9,11,12,10,7,12,10,316,0.006329,0.018987,0.015823,0.174051,0.753165,0.003165,0.028481,0.114,0.254102,0.718477,0.441,0.355
'RALSTON VALLEY SENIOR HIGH SCHOOL',12,12,11,13,10,12,9,9,12,6,1666,0.004202,0.021008,0.006603,0.101441,0.837335,0.0012,0.028211,0.079,0.175322,0.768389,0.497,0.441
'HERITAGE HIGH SCHOOL',12,12,11,12,10,12,9,9,12,8,1752,0.00742,0.020548,0.01484,0.109589,0.815068,0.000571,0.031963,0.107,0.282369,0.611477,0.442,0.485
'EVERGREEN HIGH SCHOOL',12,13,12,13,12,13,8,8,9,6,971,0.00309,0.009269,0.00309,0.044284,0.92379,0,0.016478,0.114,0.151545,0.802994,0.676,0.615
'PEAK TO PEAK CHARTER SCHOOL',12,12,12,12,12,13,9,7,9,9,1444,0.002078,0.097645,0.00831,0.092798,0.756925,0.002078,0.040166,0.082,0.304228,0.648784,0.598,0.494
'WEST GRAND HIGH SCHOOL',12,10,12,9,11,12,13,13,13,13,114,0,0.008772,0,0.122807,0.850877,0.017544,0,0.246,0.172767,0.692182,0.226,0.202
'CHEYENNE MOUNTAIN HIGH SCHOOL',12,12,12,12,12,11,9,8,9,6,1342,0.004471,0.04769,0.022355,0.121461,0.785395,0.003726,0.014903,0.076,0.300089,0.624359,0.53,0.491
'ALTONA MIDDLE SCHOOL',13,11,11,9,12,11,13,12,13,12,643,0.00311,0.073095,0.017107,0.104199,0.774495,0.001555,0.026439,0.152,0.163212,0.757195,0.647,0.628
'RIDGWAY HIGH SCHOOL',12,11,12,9,10,11,11,12,7,12,107,0.009346,0.018692,0,0.140187,0.82243,0.009346,0,0.206,0.117232,0.602703,0.293,0.436
'ARAPAHOE HIGH SCHOOL',12,12,12,12,12,12,9,7,10,6,2190,0.004566,0.019635,0.006849,0.077169,0.864384,0.000913,0.026484,0.063,0.239461,0.753581,0.573,0.57
'BRADFORD INTERMEDIATE SCHOOL',13,13,12,12,13,13,12,13,9,11,369,0.00271,0.01897,0,0.065041,0.888889,0,0.02439,0.043,0.16567,0.824568,0.56,0.538
'SUPERIOR ELEMENTARY SCHOOL',13,12,13,12,12,12,12,9,10,12,592,0.001689,0.111486,0.003378,0.047297,0.756757,0,0.079392,0.019,0.133119,0.823075,0.816,0.67
'CORE KNOWLEDGE CHARTER SCHOOL',13,12,12,12,13,10,12,12,12,9,454,0,0.035242,0.002203,0.028634,0.909692,0.006608,0.017621,0.031,0.150623,0.81402,0.563,0.42
'CRESTED BUTTE COMMUNITY SCHOOL',12,12,12,12,12,10,12,10,13,6,553,0.003617,0.007233,0.001808,0.027125,0.929476,0.003617,0.027125,0.098,0.196491,0.621134,0.753,0.357
'MESA VALLEY VISION HOME AND COMMUNITY PROGRAM',12,9,9,8,8,9,11,9,10,10,326,0.006135,0.027607,0.006135,0.015337,0.941718,0,0.003067,0.012,0.327075,0.40556,0.251,0.267
'ASPEN HIGH SCHOOL',12,11,12,10,12,10,9,9,8,7,546,0.007326,0.02381,0.007326,0.10989,0.851648,0,0,0.035,0.214965,0.752717,0.542,0.615
'BUENA VISTA HIGH SCHOOL',12,9,9,7,9,9,10,12,9,9,282,0.007092,0.003546,0.003546,0.102837,0.851064,0.003546,0.028369,0.266,0.103512,0.471784,0.278,0.381
'TRAUT CORE ELEMENTARY SCHOOL',13,13,13,13,13,13,12,12,9,13,494,0.004049,0.145749,0.010121,0.046559,0.769231,0,0.024291,0.056,0.169774,0.687954,0.599,0.589
'DRY CREEK ELEMENTARY SCHOOL',13,12,11,12,12,10,12,12,11,12,425,0.002353,0.096471,0.035294,0.131765,0.663529,0.004706,0.065882,0.172,0.246199,0.706553,0.593,0.63
'AMERICAN ACADEMY AT CASTLE PINES CHARTER',13,12,12,12,13,12,12,9,10,12,885,0.00339,0.067797,0.00226,0.065537,0.832768,0.00452,0.023729,0.015,0.133237,0.832867,0.649,0.539
'PEETZ JUNIOR-SENIOR HIGH SCHOOL',12,13,13,12,13,9,13,13,6,13,76,0,0,0,0.039474,0.947368,0,0.013158,0.368,0.23913,0.467105,0.211,0.18
'HULSTROM OPTIONS K-8 SCHOOL',13,13,13,13,13,13,12,12,12,12,730,0.005479,0.090411,0.009589,0.108219,0.753425,0.006849,0.026027,0.085,0.218327,0.588498,0.222,0.145
'COLLEGIATE ACADEMY OF COLORADO',12,7,7,6,8,6,10,9,9,10,499,0.004008,0.02004,0,0.140281,0.793587,0,0.042084,0.156,0.16567,0.824568,0.56,0.538
'NORTHRIDGE ELEMENTARY SCHOOL',13,13,12,13,13,13,12,13,9,12,392,0.002551,0.005102,0,0.813776,0.17602,0,0.002551,0.893,0.342934,0.41851,0.343,0.294
'JULESBURG HIGH SCHOOL',12,10,10,12,9,11,12,11,12,10,114,0,0,0,0.192982,0.77193,0,0.035088,0.439,0.262097,0.406326,0.146,0.18
'DOUGLASS ELEMENTARY SCHOOL',13,13,12,13,12,13,11,9,10,11,430,0,0.027907,0,0.044186,0.851163,0,0.076744,0.049,0.21971,0.737669,0.748,0.722
'MONARCH HIGH SCHOOL',12,12,10,12,11,10,8,6,10,6,1531,0.000653,0.052253,0.007185,0.077727,0.815807,0.001306,0.045069,0.051,0.133119,0.823075,0.816,0.67
'BELLEVIEW ELEMENTARY SCHOOL',13,12,11,12,12,12,12,9,10,12,573,0.008726,0.21815,0.033159,0.095986,0.595113,0,0.048866,0.112,0.186718,0.803353,0.69,0.712
'SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL',12,6,8,7,6,6,13,12,12,12,139,0.007194,0,0.007194,0.201439,0.741007,0.043165,0,0.547,0.087719,0.337017,0.185,0.5
'ROCK CANYON HIGH SCHOOL',12,12,12,12,12,12,6,6,6,6,1613,0.00434,0.054557,0.015499,0.076875,0.821451,0.00248,0.024799,0.019,0.133237,0.832867,0.649,0.539
'WILDFLOWER ELEMENTARY SCHOOL',13,12,13,9,13,12,12,10,10,12,373,0.013405,0.048257,0.265416,0.316354,0.316354,0.008043,0.032172,0.743,0.420069,0.318747,0.161,0.126
'PINE CREEK HIGH SCHOOL',12,11,12,10,12,12,8,8,6,9,1409,0.008517,0.036196,0.022711,0.105039,0.79418,0.005678,0.027679,0.05,0.080367,0.764302,0.625,0.499
'SLAVENS K-8 SCHOOL',13,12,12,12,12,12,12,12,10,12,543,0.001842,0.031308,0.005525,0.082873,0.828729,0.001842,0.047882,0.079,0.203056,0.708609,0.705,0.664
'CHIPETA ELEMENTARY SCHOOL',13,12,12,13,12,10,12,12,12,10,468,0.008547,0.070513,0.008547,0.104701,0.752137,0,0.055556,0.137,0.180395,0.790978,0.61,0.664
'CONIFER SENIOR HIGH SCHOOL',12,11,11,11,11,10,9,9,7,8,914,0.004376,0.010941,0.003282,0.063457,0.901532,0.001094,0.015317,0.109,0.127775,0.783204,0.494,0.476
'DISCOVERY CANYON CAMPUS SCHOOL',12,12,12,10,12,12,7,7,6,9,2170,0.00553,0.035945,0.025806,0.091705,0.788018,0.003687,0.049309,0.059,0.105768,0.85046,0.682,0.741
'GLENWOOD SPRINGS HIGH SCHOOL',11,9,8,9,7,9,12,11,12,9,768,0.010417,0.010417,0,0.404948,0.540365,0,0.033854,0.163,0.317724,0.629726,0.3,0.352
'MOUNTAIN VIEW ELEMENTARY SCHOOL',12,12,12,12,12,11,12,9,12,10,675,0.001481,0.041481,0.005926,0.155556,0.779259,0,0.016296,0.253,0.218448,0.735466,0.505,0.374
'PAONIA ELEMENTARY SCHOOL',12,12,10,12,11,9,12,12,12,10,230,0,0,0.013043,0.143478,0.83913,0,0.004348,0.443,0.350329,0.43761,0.203,0.325
