ACSSF,2010m1,co,000,0111,0000001,7393,5221,1689,1451,1200,601,704,384,496,208,725,301,151,324,575,269,208,161,2655,602,502,398,317,1651,1842,118,1983,1062,1808,3415,458,3035,1124,2659,1612,1104,1360,3966,1716,873,537,680,413,222,342,279,1206,699,317,844,216,698,614,353,2853,937,451,326,306,1805,1685,855,2126,1192,1713,314,101,116,277,1454,1279,332,600,3980,2678,1546,850,672,626,767,668,258,199,781,268,187,457,545,437,375,194,1152,188,580,367,429,715,504,380,1573,1205,963,971,28,727,586,1028,690,586,510,2605,1584,1021,855,728,498,382,253,267,899,333,335,658,366,565,491,225,1373,554,280,280,279,954,441,689,1645,1062,1242,91,279,91,279,588,520,150,139,,,,,,,,,,,,,,7393,5221,1689,2655,1983,3415,2659,3966,1716,2853,2126,314,1454,3980,2678,1546,1152,1573,971,1028,2605,1584,1373,1645,91,588
ACSSF,2010m1,co,000,0111,0000002,7333,5186,1479,1260,1041,544,660,372,464,208,725,301,151,324,575,269,208,161,2612,569,499,398,316,1655,1808,109,1870,943,1690,3334,375,3059,941,2456,1470,990,1333,3823,1562,831,487,639,413,222,342,279,1055,645,317,759,216,649,620,251,2814,923,325,295,136,1683,1578,822,1968,1127,1610,310,92,116,276,1446,1267,332,600,3507,2412,1326,656,480,360,585,478,258,199,723,222,184,451,526,416,349,194,1074,188,481,327,347,685,502,380,1471,1145,900,837,279,633,593,805,599,379,430,2286,1340,866,729,680,498,369,253,267,809,333,335,554,345,510,441,185,1304,521,280,280,279,957,431,578,1478,971,1121,91,279,91,279,554,507,279,139,,,,,,,,,,,,,,7333,5186,1479,2612,1870,3334,2456,3823,1562,2814,1968,310,1446,3507,2412,1326,1074,1471,837,805,2286,1340,1304,1478,91,554
ACSSF,2010m1,co,000,0111,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427,1621,682,446,877,826,673,1371,683,937,807,44,140,2022,1560,934,351,563,579,650,1040,740,502,654,279,189
ACSSF,2010m1,co,000,0111,0000004,6944,5058,1599,1350,1118,584,705,384,496,208,725,301,151,324,575,269,208,161,2562,569,499,398,316,1644,1743,77,1866,977,1762,3342,399,3008,1092,2586,1589,1039,1375,3699,1667,862,503,692,413,222,342,279,1205,690,292,845,216,683,614,306,2622,936,451,326,306,1722,1585,827,2049,1153,1657,313,92,116,277,1451,1271,332,600,4165,2609,1524,850,687,619,703,657,258,72,736,222,184,349,545,437,375,194,1143,188,548,367,377,720,488,380,1546,1199,945,756,279,619,487,1051,560,559,524,2709,1504,940,748,728,498,382,253,267,888,333,335,649,355,537,485,185,1376,503,280,280,279,975,434,680,1704,1066,1205,91,279,91,279,589,521,150,139,,,,,,,,,,,,,,6944,5058,1599,2562,1866,3342,2586,3699,1667,2622,2049,313,1451,4165,2609,1524,1143,1546,756,1051,2709,1504,1376,1704,91,589
ACSSF,2010m1,co,000,0111,0000005,6811,5021,1604,1317,1071,584,705,384,496,208,704,122,151,324,575,269,208,161,2448,569,499,398,316,1591,1690,77,1715,878,1598,3333,399,2989,1027,2542,1571,1054,1291,3487,1600,848,503,654,413,222,342,279,1170,592,292,845,216,683,614,306,2561,926,425,326,266,1711,1569,827,1976,1079,1651,313,92,116,277,1451,1271,332,600,3970,2412,1529,827,669,619,698,645,258,72,739,222,155,349,545,437,375,194,1024,188,548,367,377,715,333,348,1384,1148,834,741,279,599,494,1034,552,546,524,2625,1451,915,695,724,498,382,253,267,888,333,335,649,355,538,485,185,1322,503,280,280,279,982,434,605,1699,1064,1200,91,279,91,279,574,521,91,139,,,,,,,,,,,,,,6811,5021,1604,2448,1715,3333,2542,3487,1600,2561,1976,313,1451,3970,2412,1529,1024,1384,741,1034,2625,1451,1322,1699,91,574
ACSSF,2010m1,co,000,0111,0000006,5973,4128,1366,1015,845,459,525,214,443,164,512,122,151,310,336,196,177,78,1849,560,447,352,291,1323,1270,77,1427,690,1193,2539,272,2293,786,1992,1060,702,1102,2890,1130,674,450,448,251,279,251,279,739,518,279,546,155,415,409,144,2144,842,295,295,279,1352,1246,762,1436,650,1296,296,92,68,276,829,720,102,387,3053,1724,1201,681,437,590,552,492,141,72,640,190,114,314,524,129,129,279,769,188,386,311,240,559,126,194,939,890,548,625,279,541,340,651,390,338,380,2020,1072,700,418,643,354,280,84,165,711,317,320,458,326,391,362,151,1006,399,255,255,279,901,442,368,1375,812,972,91,279,91,279,337,316,279,139,,,,,,,,,,,,,,5973,4128,1366,1849,1427,2539,1992,2890,1130,2144,1436,296,829,3053,1724,1201,769,939,625,651,2020,1072,1006,1375,91,337
ACSSF,2010m1,co,000,0111,0000007,4719,3491,992,764,690,313,403,290,246,129,492,279,279,102,477,174,100,139,1419,92,218,177,130,841,1097,279,1168,739,971,1906,248,1791,611,1451,932,882,596,2387,1091,525,258,467,339,222,256,279,827,279,292,604,146,535,453,263,1419,384,299,132,266,951,817,415,1258,775,979,95,279,93,24,1114,987,334,349,2642,1734,984,626,569,219,529,493,211,279,301,130,107,192,116,407,352,194,752,279,391,208,337,541,314,290,929,736,580,483,279,330,356,738,417,414,336,1793,1002,680,568,344,350,270,239,209,515,103,86,441,154,392,334,145,855,375,131,131,279,590,165,451,1065,722,687,279,279,279,279,425,416,91,279,,,,,,,,,,,,,,4719,3491,992,1419,1168,1906,1451,2387,1091,1419,1258,95,1114,2642,1734,984,752,929,483,738,1793,1002,855,1065,279,425
ACSSF,2010m1,co,000,0111,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605,1295,456,530,423,699,462,686,377,459,292,279,279,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0111,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0111,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
