ACSSF,2011e1,co,000,0036,0000001,2477748,2097910,256474,138720,117754,123364,89002,34362,1869617,1606716,175768,102138,73630,87133,63480,23653,241770,180092,46056,19123,26933,15622,10001,5621,77042,57169,12793,5744,7049,7080,4602,2478,72487,59905,8641,4758,3883,3941,3024,917,61878,52265,5861,2904,2957,3752,2782,970,154954,141763,7355,4053,3302,5836,5113,723,2477417,344114,196897,356030,339140,403111,293781,123592,420752,1869442,223131,136024,261157,261271,322078,239649,98039,328093,241770,40963,22848,43182,37049,37569,23331,10707,26121,77042,17988,10109,11141,8062,9563,7945,3114,9120,72487,22286,9863,12534,9634,6490,4687,1932,5061,61878,11208,5263,9655,7513,8545,4406,2143,13145,154798,28538,12790,18361,15611,18866,13763,7657,39212,35065,36704,28293,24117,18243,30087,36343,2456053,171264,157241,2127548,1863995,107534,107071,1649390,239862,24231,23763,191868,76379,12400,7766,56213,60892,9914,5249,45729,61339,7901,6422,47016,153586,9284,6970,137332,2477748,2097910,379838,227722,152116,1869617,1606716,262901,165618,97283,241770,180092,61678,29124,32554,77042,57169,19873,10346,9527,134365,112170,22195,13468,8727,154954,141763,13191,9166,4025,2477417,344114,196897,356030,339140,403111,293781,123592,420752,1869442,223131,136024,261157,261271,322078,239649,98039,328093,241770,40963,22848,43182,37049,37569,23331,10707,26121,77042,17988,10109,11141,8062,9563,7945,3114,9120,134365,33494,15126,22189,17147,15035,9093,4075,18206,154798,28538,12790,18361,15611,18866,13763,7657,39212
ACSSF,2011e1,co,000,0036,0000002,1920533,1600192,221878,117063,104815,98463,69100,29363,1442506,1225822,149162,84709,64453,67522,48102,19420,187805,132191,42255,17238,25017,13359,8189,5170,71101,51903,12498,5694,6804,6700,4222,2478,59765,49104,7232,3581,3651,3429,2542,887,53181,44326,5670,2824,2846,3185,2367,818,106175,96846,5061,3017,2044,4268,3678,590,1920420,275984,158859,285192,270791,314000,221132,92068,302394,1442438,176275,107657,207889,208318,252628,178797,74127,236747,187805,32739,19110,36844,28800,28715,16271,6966,18360,71101,17438,9814,10386,7523,8409,7097,2813,7621,59765,18534,8731,10232,7957,4888,4023,1320,4080,53181,10547,4600,8150,6810,7160,3937,1858,10119,106130,20451,8947,11691,11383,12200,11007,4984,25467,33298,35873,26268,22370,17602,28194,35513,1899648,149114,132813,1617721,1436960,93920,89982,1253058,185973,20826,20335,144812,70438,12080,7091,51267,48714,8363,4287,36064,52642,7202,6117,39323,104921,6723,5001,93197,1920533,1600192,320341,186163,134178,1442506,1225822,216684,132811,83873,187805,132191,55614,25427,30187,71101,51903,19198,9916,9282,112946,93430,19516,11314,8202,106175,96846,9329,6695,2634,1920420,275984,158859,285192,270791,314000,221132,92068,302394,1442438,176275,107657,207889,208318,252628,178797,74127,236747,187805,32739,19110,36844,28800,28715,16271,6966,18360,71101,17438,9814,10386,7523,8409,7097,2813,7621,112946,29081,13331,18382,14767,12048,7960,3178,14199,106130,20451,8947,11691,11383,12200,11007,4984,25467
ACSSF,2011e1,co,000,0036,0000003,557215,497718,34596,21657,12939,24901,19902,4999,427111,380894,26606,17429,9177,19611,15378,4233,53965,47901,3801,1885,1916,2263,1812,451,5941,5266,295,50,245,380,380,0,12722,10801,1409,1177,232,512,482,30,8697,7939,191,80,111,567,415,152,48779,44917,2294,1036,1258,1568,1435,133,556997,68130,38038,70838,68349,89111,72649,31524,118358,427004,46856,28367,53268,52953,69450,60852,23912,91346,53965,8224,3738,6338,8249,8854,7060,3741,7761,5941,550,295,755,539,1154,848,301,1499,12722,3752,1132,2302,1677,1602,664,612,981,8697,661,663,1505,703,1385,469,285,3026,48668,8087,3843,6670,4228,6666,2756,2673,13745,40128,40781,35613,41159,21296,41843,40123,556405,22150,24428,509827,427035,13614,17089,396332,53889,3405,3428,47056,5941,320,675,4946,12178,1551,962,9665,8697,699,305,7693,48665,2561,1969,44135,557215,497718,59497,41559,17938,427111,380894,46217,32807,13410,53965,47901,6064,3697,2367,5941,5266,675,430,245,21419,18740,2679,2154,525,48779,44917,3862,2471,1391,556997,68130,38038,70838,68349,89111,72649,31524,118358,427004,46856,28367,53268,52953,69450,60852,23912,91346,53965,8224,3738,6338,8249,8854,7060,3741,7761,5941,550,295,755,539,1154,848,301,1499,21419,4413,1795,3807,2380,2987,1133,897,4007,48668,8087,3843,6670,4228,6666,2756,2673,13745
ACSSF,2011e1,co,000,0036,0000004,2299078,1942671,237692,126755,110937,118715,84637,34078,1746165,1499251,163062,94424,68638,83852,60449,23403,218576,160760,42502,16588,25914,15314,9727,5587,73349,53965,12492,5467,7025,6892,4414,2478,62595,51173,7709,4030,3679,3713,2796,917,57569,48590,5411,2765,2646,3568,2598,970,140824,128932,6516,3481,3035,5376,4653,723,2298965,316225,178846,326665,312775,372900,273332,117455,400767,1746097,206128,123478,240559,242296,300955,225236,93428,314017,218576,37182,20491,40325,33419,33397,19852,9747,24163,73349,17013,9928,10211,7915,8770,7503,3062,8947,62595,19374,8775,10723,8047,5321,4097,1779,4479,57569,10647,4969,8853,6885,7323,4122,2143,12627,140779,25881,11205,15994,14213,17134,12522,7296,36534,35423,37102,27711,24369,17985,29575,37240,2278443,158838,143764,1975841,1740894,100501,97715,1542678,216768,22183,22753,171832,72713,11851,7162,53700,51582,8546,3995,39041,57030,7602,6202,43226,139456,8155,5937,125364,2299078,1942671,356407,211392,145015,1746165,1499251,246914,154873,92041,218576,160760,57816,26315,31501,73349,53965,19384,9881,9503,120164,99763,20401,12189,8212,140824,128932,11892,8134,3758,2298965,316225,178846,326665,312775,372900,273332,117455,400767,1746097,206128,123478,240559,242296,300955,225236,93428,314017,218576,37182,20491,40325,33419,33397,19852,9747,24163,73349,17013,9928,10211,7915,8770,7503,3062,8947,120164,30021,13744,19576,14932,12644,8219,3922,17106,140779,25881,11205,15994,14213,17134,12522,7296,36534
ACSSF,2011e1,co,000,0036,0000005,2168585,1835540,217638,118224,99414,115407,81871,33536,1652152,1420296,150745,88410,62335,81111,58078,23033,202109,148131,38873,16081,22792,15105,9638,5467,69833,52125,11029,4888,6141,6679,4248,2431,57285,47561,6077,3114,2963,3647,2735,912,53814,45577,4738,2542,2196,3499,2529,970,133392,121850,6176,3189,2987,5366,4643,723,2168472,294788,170344,305186,291764,349405,257422,112332,387231,1652084,193474,119045,225805,226745,282560,212124,89548,302783,202109,33796,18697,37144,30726,30899,18499,9018,23330,69833,15963,9150,9900,7644,8544,6940,2966,8726,57285,17958,8169,9491,6939,4894,3753,1770,4311,53814,9972,4759,8042,5972,6806,3901,2021,12341,133347,23625,10524,14804,13738,15702,12205,7009,35740,35670,37270,28674,24864,17545,30150,39092,2148688,147976,134881,1865831,1647141,95523,91773,1459845,200301,19523,21386,159392,69197,10698,7162,51337,46570,7644,3707,35219,53322,6936,5655,40731,132157,7652,5198,119307,2168585,1835540,333045,200095,132950,1652152,1420296,231856,146488,85368,202109,148131,53978,25719,28259,69833,52125,17708,9136,8572,111099,93138,17961,10920,7041,133392,121850,11542,7832,3710,2168472,294788,170344,305186,291764,349405,257422,112332,387231,1652084,193474,119045,225805,226745,282560,212124,89548,302783,202109,33796,18697,37144,30726,30899,18499,9018,23330,69833,15963,9150,9900,7644,8544,6940,2966,8726,111099,27930,12928,17533,12911,11700,7654,3791,16652,133347,23625,10524,14804,13738,15702,12205,7009,35740
ACSSF,2011e1,co,000,0036,0000006,967886,784148,124349,64565,59784,59389,40040,19349,719212,598365,82576,47115,35461,38271,25897,12374,92945,60877,23696,9133,14563,8372,5200,3172,38532,25766,7762,2847,4915,5004,2926,2078,33285,26351,4258,1873,2385,2676,2014,662,33416,27949,2685,2028,657,2782,2141,641,50496,44840,3372,1569,1803,2284,1862,422,967773,142193,83774,152598,136150,159330,108729,43337,141662,719144,89511,58823,109657,101099,128862,86840,34367,109985,92945,15306,9478,19728,15683,13456,8201,3263,7830,38532,9181,6868,6861,4334,3917,3524,1097,2750,33285,11242,2225,6223,4646,3024,2600,809,2516,33416,6690,2880,5162,3671,4568,2588,1173,6684,50451,10263,3500,4967,6717,5503,4976,2628,11897,32086,35039,25997,19911,19876,29213,34408,959254,91697,76926,790631,715861,56958,51849,607054,92616,12386,11792,68438,37896,7048,5143,25705,30444,6222,2640,21582,33007,5073,3750,24184,49430,4010,1752,43668,967886,784148,183738,104605,79133,719212,598365,120847,73012,47835,92945,60877,32068,14333,17735,38532,25766,12766,5773,6993,66701,54300,12401,8056,4345,50496,44840,5656,3431,2225,967773,142193,83774,152598,136150,159330,108729,43337,141662,719144,89511,58823,109657,101099,128862,86840,34367,109985,92945,15306,9478,19728,15683,13456,8201,3263,7830,38532,9181,6868,6861,4334,3917,3524,1097,2750,66701,17932,5105,11385,8317,7592,5188,1982,9200,50451,10263,3500,4967,6717,5503,4976,2628,11897
ACSSF,2011e1,co,000,0036,0000007,1200699,1051392,93289,53659,39630,56018,41831,14187,932940,821931,68169,41295,26874,42840,32181,10659,109164,87254,15177,6948,8229,6733,4438,2295,31301,26359,3267,2041,1226,1675,1322,353,24000,21210,1819,1241,578,971,721,250,20398,17628,2053,514,1539,717,388,329,82896,77010,2804,1620,1184,3082,2781,301,1200699,152595,86570,152588,155614,190075,148693,68995,245569,932940,103963,60222,116148,125646,153698,125284,55181,192798,109164,18490,9219,17416,15043,17443,10298,5755,15500,31301,6782,2282,3039,3310,4627,3416,1869,5976,24000,6716,5944,3268,2293,1870,1153,961,1795,20398,3282,1879,2880,2301,2238,1313,848,5657,82896,13362,7024,9837,7021,10199,7229,4381,23843,38523,40437,31729,35365,12366,32354,41027,1189434,56279,57955,1075200,931280,38565,39924,852791,107685,7137,9594,90954,31301,3650,2019,25632,16126,1422,1067,13637,20315,1863,1905,16547,82727,3642,3446,75639,1200699,1051392,149307,95490,53817,932940,821931,111009,73476,37533,109164,87254,21910,11386,10524,31301,26359,4942,3363,1579,44398,38838,5560,2864,2696,82896,77010,5886,4401,1485,1200699,152595,86570,152588,155614,190075,148693,68995,245569,932940,103963,60222,116148,125646,153698,125284,55181,192798,109164,18490,9219,17416,15043,17443,10298,5755,15500,31301,6782,2282,3039,3310,4627,3416,1869,5976,44398,9998,7823,6148,4594,4108,2466,1809,7452,82896,13362,7024,9837,7021,10199,7229,4381,23843
ACSSF,2011e1,co,000,0036,0000008,130493,107131,20054,8531,11523,3308,2766,542,94013,78955,12317,6014,6303,2741,2371,370,16467,12629,3629,507,3122,209,89,120,3516,1840,1463,579,884,213,166,47,5310,3612,1632,916,716,66,61,5,3755,3013,673,223,450,69,69,0,7432,7082,340,292,48,10,10,0,130493,21437,8502,21479,21011,23495,15910,5123,13536,94013,12654,4433,14754,15551,18395,13112,3880,11234,16467,3386,1794,3181,2693,2498,1353,729,833,3516,1050,778,311,271,226,563,96,221,5310,1416,606,1232,1108,427,344,9,168,3755,675,210,811,913,517,221,122,286,7432,2256,681,1190,475,1432,317,287,794,30720,34603,23475,14390,21229,26029,20936,129755,10862,8883,110010,93753,4978,5942,82833,16467,2660,1367,12440,3516,1153,0,2363,5012,902,288,3822,3708,666,547,2495,7299,503,739,6057,130493,107131,23362,11297,12065,94013,78955,15058,8385,6673,16467,12629,3838,596,3242,3516,1840,1676,745,931,9065,6625,2440,1269,1171,7432,7082,350,302,48,130493,21437,8502,21479,21011,23495,15910,5123,13536,94013,12654,4433,14754,15551,18395,13112,3880,11234,16467,3386,1794,3181,2693,2498,1353,729,833,3516,1050,778,311,271,226,563,96,221,9065,2091,816,2043,2021,944,565,131,454,7432,2256,681,1190,475,1432,317,287,794
ACSSF,2011e1,co,000,0036,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43585,9449,3138,8889,5512,6972,4595,1342,3688,30759,5230,2010,6191,3630,5327,4143,1064,3164,4636,1046,463,1374,482,717,187,124,243,796,662,0,0,134,0,0,0,0,2286,1071,301,123,529,171,91,0,0,2340,569,189,486,592,296,37,122,49,2768,871,175,715,145,461,137,32,232,25346,30241,20563,8856,10717,23972,20201,42857,5403,4419,33035,30504,2275,3027,25202,4636,834,368,3434,796,662,0,134,1993,764,243,986,2293,628,311,1354,2635,240,470,1925,43585,34660,8925,3861,5064,30759,25064,5695,2786,2909,4636,3561,1075,355,720,796,219,577,0,577,4626,3221,1405,547,858,2768,2595,173,173,0,43585,9449,3138,8889,5512,6972,4595,1342,3688,30759,5230,2010,6191,3630,5327,4143,1064,3164,4636,1046,463,1374,482,717,187,124,243,796,662,0,0,134,0,0,0,0,4626,1640,490,609,1121,467,128,122,49,2768,871,175,715,145,461,137,32,232
ACSSF,2011e1,co,000,0036,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86908,11988,5364,12590,15499,16523,11315,3781,9848,63254,7424,2423,8563,11921,13068,8969,2816,8070,11831,2340,1331,1807,2211,1781,1166,605,590,2720,388,778,311,137,226,563,96,221,3024,345,305,1109,579,256,253,9,168,1415,106,21,325,321,221,184,0,237,4664,1385,506,475,330,971,180,255,562,32649,35729,25862,22622,22679,33740,22156,86898,5459,4464,76975,63249,2703,2915,57631,11831,1826,999,9006,2720,491,0,2229,3019,138,45,2836,1415,38,236,1141,4664,263,269,4132,86908,72471,14437,7436,7001,63254,53891,9363,5599,3764,11831,9068,2763,241,2522,2720,1621,1099,745,354,4439,3404,1035,722,313,4664,4487,177,129,48,86908,11988,5364,12590,15499,16523,11315,3781,9848,63254,7424,2423,8563,11921,13068,8969,2816,8070,11831,2340,1331,1807,2211,1781,1166,605,590,2720,388,778,311,137,226,563,96,221,4439,451,326,1434,900,477,437,9,405,4664,1385,506,475,330,971,180,255,562
ACSSF,2011e1,co,000,0036,0000011,178670,155239,18782,11965,6817,4649,4365,284,123452,107465,12706,7714,4992,3281,3031,250,23194,19332,3554,2535,1019,308,274,34,3693,3204,301,277,24,188,188,0,9892,8732,932,728,204,228,228,0,4309,3675,450,139,311,184,184,0,14130,12831,839,572,267,460,460,0,178452,27889,18051,29365,26365,30211,20449,6137,19985,123345,17003,12546,20598,18975,21123,14413,4611,14076,23194,3781,2357,2857,3630,4172,3479,960,1958,3693,975,181,930,147,793,442,52,173,9892,2912,1088,1811,1587,1169,590,153,582,4309,561,294,802,628,1222,284,0,518,14019,2657,1585,2367,1398,1732,1241,361,2678,30538,31143,31355,19316,20000,31750,27497,177610,12426,13477,151707,123101,7033,9356,106712,23094,2048,1010,20036,3666,549,604,2513,9310,1368,1254,6688,4309,299,220,3790,14130,1129,1033,11968,178670,155239,23431,16330,7101,123452,107465,15987,10745,5242,23194,19332,3862,2809,1053,3693,3204,489,465,24,14201,12407,1794,1279,515,14130,12831,1299,1032,267,178452,27889,18051,29365,26365,30211,20449,6137,19985,123345,17003,12546,20598,18975,21123,14413,4611,14076,23194,3781,2357,2857,3630,4172,3479,960,1958,3693,975,181,930,147,793,442,52,173,14201,3473,1382,2613,2215,2391,874,153,1100,14019,2657,1585,2367,1398,1732,1241,361,2678
