School_Name,School_Grade,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,Enrol_TOT,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,PCT_FREE_MEAL,PCT_Single_Family,PCT_More_than_INCOME_60000,EDU_Population35to44years_Bachelorsdegreeorhigher,EDU_Population45to64years_Bachelorsdegreeorhigher,City,Zipcode,Address
'ACADEMY ENDEAVOUR ELEMENTARY SCHOOL',7,9,9,9,9,9,7,7,7,7,629,0.00159,0.034976,0.030207,0.141494,0.736089,0.004769,0.050874,0.1447,0.16435,0.80421,0.576,0.584,COLORADO SPRINGS,80920,3475 HAMPTON PARK DRIVE
'ACADEMY INTERNATIONAL ELEMENTARY SCHOOL',12,12,12,10,11,12,11,12,11,7,728,0.001374,0.10989,0.04533,0.103022,0.690934,0.006868,0.042582,0.0832,0.16435,0.80421,0.576,0.584,COLORADO SPRINGS,80920,8550 CHARITY
'AIR ACADEMY HIGH SCHOOL',9,10,9,9,9,10,6,5,6,5,1388,0.004323,0.027378,0.0317,0.101585,0.775937,0.007925,0.051153,0.0879,0.220363,0.698113,0.559,0.396,USAF ACADEMY,80840,551 NORTH FRONTAGE ROAD WEST
'ANTELOPE TRAILS ELEMENTARY SCHOOL',10,10,10,9,10,9,9,6,9,9,537,0.001862,0.022346,0.009311,0.117318,0.817505,0.001862,0.029795,0.0845,0.082265,0.83179,0.66,0.686,COLORADO SPRINGS,80921,15280 JESSIE DRIVE
'ASPEN VALLEY HIGH SCHOOL',7,6,9,3,6,3,12,12,10,12,99,0.010101,0.020202,0.020202,0.161616,0.747475,0,0.040404,0.1818,0.16435,0.80421,0.576,0.584,COLORADO SPRINGS,80920,1450 CHAPEL HILLS DRIVE
'CHALLENGER MIDDLE SCHOOL',8,10,9,9,9,12,6,7,6,7,720,0.002778,0.026389,0.011111,0.104167,0.813889,0.002778,0.038889,0.0861,0.16435,0.80421,0.576,0.584,COLORADO SPRINGS,80920,10215 LEXINGTON DRIVE
'CHINOOK TRAIL ELEMENTARY SCHOOL',13,12,12,10,12,12,12,10,12,9,483,0.006211,0.062112,0.016563,0.10352,0.728778,0.004141,0.078675,0.0435,0.074449,0.804114,0.611,0.59,COLORADO SPRINGS,80924,11795 GRAND LAWN CIRCLE
'DISCOVERY CANYON CAMPUS SCHOOL',6,10,9,11,10,9,5,1,6,6,2296,0.004355,0.031359,0.024826,0.101045,0.787456,0.00392,0.047038,0.0771,0.082265,0.83179,0.66,0.686,COLORADO SPRINGS,80921,1810 NORTHGATE BOULEVARD
'DISCOVERY CANYON CAMPUS SCHOOL',9,10,9,10,10,10,7,6,6,7,2296,0.004355,0.031359,0.024826,0.101045,0.787456,0.00392,0.047038,0.0771,0.082265,0.83179,0.66,0.686,COLORADO SPRINGS,80921,1810 NORTHGATE BOULEVARD
'DISCOVERY CANYON CAMPUS SCHOOL',9,10,10,10,10,10,6,6,6,6,2296,0.004355,0.031359,0.024826,0.101045,0.787456,0.00392,0.047038,0.0771,0.082265,0.83179,0.66,0.686,COLORADO SPRINGS,80921,1810 NORTHGATE BOULEVARD
'DOUGLASS VALLEY ELEMENTARY SCHOOL',6,7,8,6,8,9,5,6,3,5,383,0.007833,0.007833,0.065274,0.164491,0.639687,0.007833,0.10705,0.3055,0.220363,0.698113,0.559,0.396,USAF ACADEMY,80840,4610 DOUGLASS DRIVE
'EAGLEVIEW MIDDLE SCHOOL',9,9,9,9,9,9,7,6,7,8,937,0.007471,0.025614,0.037353,0.127001,0.748132,0.003202,0.051227,0.1526,0.18777,0.788041,0.573,0.649,COLORADO SPRINGS,80919,1325 VINDICATOR DRIVE
'EDITH WOLFORD ELEMENTARY SCHOOL',10,9,9,7,9,9,10,6,10,10,353,0.008499,0.005666,0.008499,0.09915,0.815864,0.002833,0.05949,0.2048,0.087449,0.744983,0.607,0.522,COLORADO SPRINGS,80908,13710 BLACK FOREST ROAD
'EXPLORER ELEMENTARY SCHOOL',6,9,9,9,10,9,3,6,1,4,522,0.001916,0.01341,0.02682,0.145594,0.745211,0.001916,0.065134,0.1492,0.16435,0.80421,0.576,0.584,COLORADO SPRINGS,80920,4190 BARDOT DRIVE
'FOOTHILLS ELEMENTARY SCHOOL',10,9,9,8,9,9,9,6,11,9,430,0,0.030233,0.018605,0.146512,0.734884,0.002326,0.067442,0.1651,0.18777,0.788041,0.573,0.649,LAKEWOOD,80228,13165 WEST OHIO AVENUE
'FRONTIER ELEMENTARY SCHOOL',9,9,7,8,8,9,9,9,6,9,417,0.009592,0.035971,0.076739,0.143885,0.685851,0.002398,0.045564,0.2931,0.16435,0.80421,0.576,0.584,COLORADO SPRINGS,80920,3755 MEADOW RIDGE DRIVE
'HIGH PLAINS ELEMENTARY SCHOOL',4,6,6,6,6,7,3,5,3,3,518,0,0.104247,0.015444,0.189189,0.656371,0.003861,0.030888,0.1969,0.158845,0.798367,0.687,0.727,COLORADO SPRINGS,80920,2248 VINTAGE DRIVE
'LIBERTY HIGH SCHOOL',8,9,9,9,9,9,5,6,5,5,1537,0.003904,0.026025,0.03188,0.13728,0.749512,0.002602,0.048796,0.0813,0.16435,0.80421,0.576,0.584,COLORADO SPRINGS,80920,8720 SCARBOROUGH DRIVE
'MOUNTAIN RIDGE MIDDLE SCHOOL',9,9,9,9,9,9,6,6,6,6,1017,0.003933,0.052114,0.007866,0.111111,0.782694,0.000983,0.041298,0.0669,0.142255,0.860478,0.662,0.65,COLORADO SPRINGS,80920,9150 LEXINGTON DRIVE
'MOUNTAIN VIEW ELEMENTARY SCHOOL',12,12,12,12,12,11,10,9,9,10,650,0.001538,0.078462,0.016923,0.169231,0.712308,0,0.021538,0.2492,0.218034,0.742388,0.514,0.386,WINDSOR,80550,810 THIRD STREET
'PINE CREEK HIGH SCHOOL',9,10,10,9,11,10,6,6,6,7,1462,0.005472,0.031464,0.02736,0.102599,0.794802,0.006156,0.032148,0.0383,0.087449,0.744983,0.607,0.522,COLORADO SPRINGS,80908,10750 THUNDER MOUNTAIN AVENUE
'PIONEER ELEMENTARY SCHOOL',7,6,6,6,6,7,8,7,8,7,548,0.001825,0.020073,0.020073,0.127737,0.786496,0,0.043796,0.135,0.149367,0.814121,0.554,0.416,FORT MORGAN,80701,415 SOUTH SPRUCE STREET
'PRAIRIE HILLS ELEMENTARY SCHOOL',9,7,8,7,7,9,7,5,9,7,482,0.002075,0.056017,0.014523,0.116183,0.788382,0,0.022822,0.0726,0.128214,0.815745,0.482,0.333,COLORADO SPRINGS,80920,8025 TELEGRAPH DRIVE
'RAMPART HIGH SCHOOL',9,9,9,10,9,9,5,5,6,2,1589,0.005664,0.073002,0.044053,0.141598,0.681561,0.004405,0.049717,0.1265,0.16435,0.80421,0.576,0.584,COLORADO SPRINGS,80920,8250 LEXINGTON DRIVE
