School_Name,School_Grade,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,Enrol_TOT,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,PCT_FREE_MEAL,PCT_Single_Family,PCT_More_than_INCOME_60000,EDU_Population35to44years_Bachelorsdegreeorhigher,EDU_Population45to64years_Bachelorsdegreeorhigher,City,Zipcode,Address
'BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES',12,12,12,12,12,12,13,9,13,12,296,0,0.037162,0.003378,0.074324,0.841216,0.003378,0.040541,0.1791,0.255846,0.708187,0.75,0.73,BOULDER,80303,3995 EAST AURORA AVENUE
'BOULDER HIGH SCHOOL',9,10,9,12,10,8,7,5,9,6,1795,0.001671,0.051253,0.013928,0.162117,0.734819,0,0.036212,0.1738,0.112594,0.749194,0.772,0.71,BOULDER,80302,1604 ARAPAHOE AVENUE
'CASEY MIDDLE SCHOOL',7,6,6,7,6,7,8,7,6,9,546,0.003663,0.014652,0.012821,0.349817,0.576923,0,0.042125,0.3626,0.237603,0.738322,0.803,0.74,BOULDER,80304,1301 HIGH STREET
'COMMUNITY MONTESSORI SCHOOL',8,9,9,9,9,10,9,8,12,5,325,0.003077,0.098462,0.006154,0.190769,0.609231,0,0.092308,0.2412,0.176255,0.793314,0.862,0.767,BOULDER,80305,805 GILLASPIE DR
'CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK',10,6,5,6,6,6,12,10,13,12,367,0.00545,0.065395,0.027248,0.354223,0.504087,0,0.043597,0.4045,0.176255,0.793314,0.862,0.767,BOULDER,80305,3740 MARTIN DRIVE
'CREST VIEW ELEMENTARY SCHOOL',9,8,7,8,7,9,9,9,7,9,625,0.008,0.0624,0.0064,0.1968,0.6624,0,0.064,0.2416,0.237603,0.738322,0.803,0.74,BOULDER,80304,1897 SUMAC AVENUE
'DOUGLASS ELEMENTARY SCHOOL',12,12,12,12,12,13,11,9,11,10,433,0,0.04157,0,0.050808,0.838337,0,0.069284,0.0439,0.255846,0.708187,0.75,0.73,BOULDER,80303,840  75TH STREET
'EISENHOWER ELEMENTARY SCHOOL',12,10,9,9,9,10,12,10,10,11,453,0.006623,0.072848,0.004415,0.154525,0.693157,0,0.068433,0.1678,0.255846,0.708187,0.75,0.73,BOULDER,80303,1220 EISENHOWER DRIVE
'FAIRVIEW HIGH SCHOOL',10,12,12,13,12,11,6,4,6,3,2073,0.004824,0.104197,0.005789,0.074288,0.767969,0,0.042933,0.0728,0.176255,0.793314,0.862,0.767,BOULDER,80305,1515 GREENBRIAR BOULEVARD
'FLATIRONS ELEMENTARY SCHOOL',8,12,12,12,12,12,6,5,7,9,313,0,0.035144,0.015974,0.047923,0.830671,0,0.070288,0.0342,0.112594,0.749194,0.772,0.71,BOULDER,80302,1150 7TH STREET
