School_Name,School_Grade,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,Enrol_TOT,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,PCT_FREE_MEAL,PCT_Single_Family,PCT_More_than_INCOME_60000,EDU_Population35to44years_Bachelorsdegreeorhigher,EDU_Population45to64years_Bachelorsdegreeorhigher,City,Zipcode,Address
'FEDERAL HEIGHTS ELEMENTARY SCHOOL',3,1,1,3,1,2,4,4,6,6,651,0.003072,0.001536,0.003072,0.84639,0.144393,0,0.001536,0.9201,0.378916,0.403135,0.106,0.107,DENVER,80221,2500 W 96TH AVENUE
'NORTH STAR ELEMENTARY SCHOOL',5,2,1,3,1,3,6,11,6,6,467,0.008565,0.004283,0.036403,0.798715,0.139186,0,0.012848,0.8994,0.378916,0.403135,0.106,0.107,DENVER,80221,8740 NORTH STAR DRIVE
'VANGUARD CLASSICAL SCHOOL',6,5,5,3,5,3,9,9,9,9,509,0.001965,0.011788,0.129666,0.559921,0.267191,0,0.02947,0.6424,0.329201,0.693909,0.787,0.683,DENVER,80230,801 YOSEMITE STREET
'VANGUARD CLASSICAL SCHOOL',9,5,5,4,6,3,12,9,10,12,509,0.001965,0.011788,0.129666,0.559921,0.267191,0,0.02947,0.6424,0.329201,0.693909,0.787,0.683,DENVER,80230,801 YOSEMITE STREET
'COLORADO CALVERT ACADEMY',3,5,6,3,5,6,2,4,1,3,180,0,0.033333,0.027778,0.133333,0.766667,0,0.038889,0.4333,0.28614,0.644963,0.558,0.418,DENVER,80203,1580 LOGAN STREET SUITE 210
'COLORADO CALVERT ACADEMY',4,6,7,3,6,6,5,7,1,6,180,0,0.033333,0.027778,0.133333,0.766667,0,0.038889,0.4333,0.28614,0.644963,0.558,0.418,DENVER,80203,1580 LOGAN STREET SUITE 210
'CHALLENGE SCHOOL',11,13,13,13,13,13,9,9,8,9,534,0.001873,0.213483,0.071161,0.123596,0.520599,0.003745,0.065543,0.0356,0.320959,0.403297,0.415,0.448,DENVER,80231,9659 EAST MISSISSIPPI AVENUE
'CHALLENGE SCHOOL',12,13,13,13,13,13,9,10,9,7,534,0.001873,0.213483,0.071161,0.123596,0.520599,0.003745,0.065543,0.0356,0.320959,0.403297,0.415,0.448,DENVER,80231,9659 EAST MISSISSIPPI AVENUE
'HOLLY HILLS ELEMENTARY SCHOOL',6,6,5,6,6,6,7,6,6,6,597,0.0067,0.055276,0.130653,0.577889,0.20603,0.00335,0.020101,0.7839,0.282386,0.491655,0.502,0.396,DENVER,80222,6161 EAST CORNELL AVENUE
'ABRAHAM LINCOLN HIGH SCHOOL',5,1,1,3,1,1,7,8,6,7,1903,0.007357,0.0268,0.009984,0.913295,0.037835,0.001051,0.003678,0.9296,0.397311,0.283844,0.087,0.111,DENVER,80219,2285 SOUTH FEDERAL BOULEVARD
'ACADEMIA ANA MARIE SANDOVAL',9,6,6,5,6,6,8,9,10,10,382,0.002618,0.010471,0,0.581152,0.374346,0,0.031414,0.3934,0.412602,0.535813,0.522,0.352,DENVER,80211,3655 WYANDOT STREET
'AMESSE ELEMENTARY SCHOOL',5,1,1,1,3,3,6,9,5,9,583,0.005146,0.003431,0.241852,0.684391,0.034305,0.001715,0.02916,0.9617,0.366887,0.336019,0.113,0.159,DENVER,80239,5440 SCRANTON STREET
'ARCHULETA ELEMENTARY SCHOOL',6,5,3,5,5,5,7,6,7,6,610,0.003279,0.018033,0.134426,0.734426,0.070492,0.008197,0.031148,0.8885,0.366887,0.336019,0.113,0.159,DENVER,80239,16000 MAXWELL PLACE
'ASBURY ELEMENTARY SCHOOL',9,6,6,7,7,6,9,9,9,6,313,0.00639,0.028754,0.079872,0.29393,0.523962,0.003195,0.063898,0.4792,0.226493,0.700401,0.704,0.648,DENVER,80210,1320 EAST ASBURY AVENUE
'ASHLEY ELEMENTARY SCHOOL',3,1,1,1,1,1,5,6,6,3,354,0.00565,0.002825,0.180791,0.728814,0.059322,0,0.022599,0.9624,0.306648,0.660047,0.637,0.601,DENVER,80220,1914 SYRACUSE STREET
'BARNUM ELEMENTARY SCHOOL',6,3,2,3,4,1,7,9,5,9,489,0.00409,0.00818,0.010225,0.932515,0.0409,0,0.00409,0.9387,0.397311,0.283844,0.087,0.111,DENVER,80219,85 HOOKER STREET
'BARRETT ELEMENTARY SCHOOL',5,1,1,1,1,1,6,7,7,5,222,0.009009,0.013514,0.40991,0.504505,0.063063,0,0,0.9471,0.534853,0.403518,0.487,0.249,DENVER,80205,2900 RICHARD ALLEN COURT
'BRADLEY ELEMENTARY SCHOOL',12,7,7,6,7,7,13,13,12,12,521,0.001919,0.024952,0.126679,0.291747,0.497121,0,0.057582,0.5088,0.282386,0.491655,0.502,0.396,DENVER,80222,3051 SOUTH ELM STREET
'BROMWELL ELEMENTARY SCHOOL',12,12,12,13,12,12,9,13,9,6,319,0.003135,0.028213,0.021944,0.125392,0.780564,0,0.040752,0.0909,0.237049,0.759071,0.754,0.667,DENVER,80206,2500 EAST 4TH AVENUE
'BROWN ELEMENTARY SCHOOL',6,6,6,6,6,6,6,6,7,7,494,0.02834,0.048583,0.010121,0.451417,0.423077,0,0.038462,0.5077,0.412602,0.535813,0.522,0.352,DENVER,80211,2550 LOWELL BLVD
'BRUCE RANDOLPH SCHOOL',3,1,1,1,1,1,5,6,5,4,886,0.003386,0.002257,0.085779,0.87246,0.025959,0,0.010158,0.9763,0.534853,0.403518,0.487,0.249,DENVER,80205,3955 STEELE STREET
'BRUCE RANDOLPH SCHOOL',6,1,1,2,1,1,8,9,9,9,886,0.003386,0.002257,0.085779,0.87246,0.025959,0,0.010158,0.9763,0.534853,0.403518,0.487,0.249,DENVER,80205,3955 STEELE STREET
'BRYANT WEBSTER K-8 SCHOOL',6,4,3,5,5,3,8,7,13,7,441,0.00907,0.002268,0.002268,0.954649,0.029478,0,0.002268,0.9567,0.412602,0.535813,0.522,0.352,DENVER,80211,3635 QUIVAS ST
